Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,897,"2,312","9,003","3,983","4,823",70,"25,067,407",217,231,33
Åland Islands,284,580,"1,341","58,693","82,767",11,0,27,47,215
Albania,"7,215","38,905","104,752","17,354","25,803",20,"3,153,731",100,127,159
Algeria,"16,056","70,929","413,666","1,508","9,057",43,"32,854,159",234,211,68
American Samoa,80,202,900,"14,345","33,078",18,"64,051",119,104,171
Andorra,200,"1,750","4,482","111,254","119,900",6,"73,483",10,19,233
Angola,992,"3,335","12,649","5,788","10,960",46,"16,095,214",197,199,61
Anguilla,132,392,"1,152","17,784","34,505",29,"12,256",98,102,118
Antarctica,12,12,63,"33,846","90,126",231,0,57,40,12
Antigua and Barbuda,389,"2,507","9,316","6,590","16,165",37,"83,039",183,164,88
Argentina,"52,300","339,697","1,157,026","12,531","27,075",33,"38,747,148",131,123,100
Armenia,"4,501","24,936","71,281","20,689","23,261",14,"3,017,661",87,136,197
Aruba,300,"3,456","9,044","14,088","82,016",12,"102,897",121,48,209
Australia,"79,353","567,150","2,140,236","15,031","55,019",44,"20,310,208",112,72,65
Austria,"39,468","132,440","424,285","15,096","48,429",19,"8,291,979",111,80,163
Azerbaijan,"9,985","68,363","223,190","8,785","9,348",48,"8,352,021",158,209,54
Bahamas,841,"3,939","13,195","16,886","54,340",21,"323,295",104,74,150
Bahrain,956,"30,025","87,811","16,347","74,483",11,"724,788",107,53,215
Bangladesh,"24,870","106,348","448,533","23,066","22,074",16,"15,328,112",73,140,183
Barbados,742,"4,708","12,431","59,780","131,481",4,"291,933",26,14,235
Belarus,"13,423","45,497","126,699","26,736","33,761",21,"9,795,287",65,103,150
Belgium,"39,242","111,653","325,438","17,939","100,581",16,"10,398,049",97,34,183
Belize,"1,126","3,986","12,722","21,685","28,613",16,"275,546",80,118,183
Benin,232,582,"1,946","8,110","11,450",48,"8,490,301",165,194,54
Bermuda,156,"1,370","4,367","35,614","109,221",13,"64,174",54,29,202
Bhutan,209,452,"1,719","14,823","12,415",21,"637,013",114,187,150
Bolivia,"7,402","116,003","436,634","8,201","17,524",29,"9,182,015",162,158,118
Bosnia and Herzegovina,"13,663","46,858","136,637","4,863","19,898",24,"3,915,238",208,151,134
Botswana,"1,554","4,532","18,273","6,125","7,454",51,"1,835,938",190,222,51
Brazil,"371,703","3,493,629","13,557,734","38,822","57,185",23,"186,830,759",50,70,139
British Indian Ocean Territory,6,21,50,"1,709","10,141",758,0,233,205,1
British Virgin Islands,175,864,"3,507","19,622","63,027",30,"22,016",92,63,113
Brunei Darussalam,"1,191","10,766","53,693","20,360","31,063",19,"373,831",88,110,163
Bulgaria,"14,163","70,136","192,190","35,790","44,135",14,"7,744,591",53,87,197
Burkina Faso,300,972,"3,893","5,997","16,684",63,"13,933,363",193,161,36
Burma,"8,046","65,678","242,144","16,667","18,287",31,"47,967,266",106,156,106
Burundi,79,161,502,"10,354","11,528",31,"7,858,791",146,193,106
Cambodia,"6,965","57,492","202,214","19,964","19,115",15,"13,955,507",89,154,191
Cameroon,511,"1,192","4,465","5,894","12,365",64,"17,795,149",196,189,35
Canada,"203,327","882,515","2,816,574","39,708","104,546",42,"32,270,507",49,30,71
Cape Verde,116,602,"2,425","10,227","20,852",19,"506,807",148,146,163
Cayman Islands,265,"1,943","6,513","16,222","41,467",21,"45,591",108,91,150
Central African Republic,8,18,35,"14,772","8,492",529,"4,191,429",115,213,6
Chad,29,49,84,"22,166","31,436",202,"10,145,609",77,108,15
Chile,"22,404","280,394","956,979","85,446","124,873",39,"16,295,102",18,17,83
China,"504,830","1,609,038","5,645,736","45,789","157,570",14,"1,312,978,855",39,6,197
Christmas Island,12,62,143,"2,653","10,433",288,0,229,204,10
Cocos (Keeling) Islands,3,9,13,"4,584","10,699",697,0,212,200,3
Colombia,"33,706","512,960","1,998,427","12,322","23,168",56,"4,494,579",133,137,46
Comoros,5,7,13,"4,615","30,889",224,"797,902",211,111,14
Congo,318,"1,427","4,183","7,063","16,222",23,"3,609,851",175,163,139
Cook Islands,45,70,133,"7,023","12,225",28,"13,984",176,190,125
Costa Rica,"10,575","142,837","557,803","9,014","31,778",22,"4,327,228",154,107,146
Cote d'Ivoire,645,"2,179","7,548","7,554","25,604",52,"18,584,701",170,129,50
Croatia,"18,058","92,976","251,764","14,715","29,006",27,"455,149",117,117,130
Cuba,488,862,"3,060","2,018","3,161",173,"11,259,905",231,234,17
Cyprus,"5,203","46,142","128,830","10,421","28,423",23,"836,321",145,120,139
Czech Republic,"33,478","88,170","269,269","21,281","43,263",19,"10,191,762",82,89,163
Democratic Republic of the Congo,179,260,684,"6,839","13,321",395,"58,740,547",180,181,7
Denmark,"38,875","136,671","428,339","110,823","143,629",11,"5,416,945",11,12,215
Djibouti,75,304,"1,094","6,259","7,690",43,"804,206",188,221,68
Dominica,162,372,"1,338","19,838","35,889",10,"67,827",90,97,221
Dominican Republic,"10,349","113,713","435,845","5,673","13,279",34,"9,469,601",199,182,96
Ecuador,"26,579","228,852","828,824","19,600","20,991",24,"13,060,993",93,145,134
Egypt,"31,331","333,349","1,270,155","4,925","15,940",41,"72,849,793",207,167,74
El Salvador,"4,470","53,636","207,341","4,110","13,777",31,"6,668,356",216,179,106
Equatorial Guinea,112,243,912,"3,718","5,637",133,"484,098",219,230,21
Estonia,"6,039","17,131","43,708","41,635","55,886",17,"1,344,312",45,71,179
Ethiopia,"1,265","4,198","14,967","5,043","5,726",56,"78,985,857",205,229,46
Faroe Islands,414,"1,217","2,571","17,195","42,580",12,"48,205",101,90,209
Fiji,434,"1,171","4,655","6,478","14,101",40,"828,046",186,176,79
Finland,"38,484","101,123","305,598","41,091","88,575",20,"5,246,004",46,42,159
France,"177,252","456,858","1,279,801","85,177","113,266",34,"60,990,544",19,25,96
