Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,"1,027","3,279","12,185","4,418","5,125",60,"25,067,407",207,230,41
Åland Islands,195,358,841,"58,618","81,155",19,0,28,45,169
Albania,"7,010","34,187","107,265","16,685","24,843",20,"3,153,731",98,125,162
Algeria,"13,983","54,516","273,270","1,452","6,983",45,"32,854,159",233,222,63
American Samoa,84,204,"1,008","10,554","26,864",110,"64,051",135,115,25
Andorra,174,"1,261","3,455","131,686","142,057",5,"73,483",8,11,235
Angola,918,"3,198","11,800","5,017","10,634",40,"16,095,214",196,199,84
Anguilla,118,311,"1,033","13,208","27,696",27,"12,256",121,112,126
Antarctica,33,41,120,"28,226","73,405",197,0,59,51,14
Antigua and Barbuda,375,"2,223","7,879","4,638","13,060",46,"83,039",204,181,58
Argentina,"51,972","342,885","1,286,890","10,469","25,264",36,"38,747,148",136,121,92
Armenia,"4,193","23,651","69,522","20,116","22,309",12,"3,017,661",81,133,211
Aruba,302,"3,009","7,999","14,344","83,119",13,"102,897",114,42,205
Australia,"76,738","499,723","1,618,674","14,839","52,481",45,"20,310,208",110,69,63
Austria,"37,118","123,633","478,668","14,890","49,170",18,"8,291,979",109,74,175
Azerbaijan,"10,108","68,781","234,490","7,882","8,353",49,"8,352,021",165,215,51
Bahamas,852,"3,623","12,520","16,372","48,105",27,"323,295",101,76,126
Bahrain,953,"32,704","109,732","15,447","68,574",12,"724,788",104,55,211
Bangladesh,"21,157","93,081","388,778","22,637","21,887",16,"15,328,112",72,135,185
Barbados,711,"3,859","11,587","60,203","129,038",11,"291,933",26,16,219
Belarus,"12,055","41,518","115,571","27,480","34,547",21,"9,795,287",62,95,159
Belgium,"39,727","114,386","377,683","17,556","98,512",15,"10,398,049",93,36,191
Belize,"1,068","3,750","11,876","21,377","28,488",17,"275,546",73,108,181
Benin,190,463,"1,671","6,969","10,191",47,"8,490,301",173,208,55
Bermuda,155,"1,267","4,231","34,440","97,094",14,"64,174",51,37,198
Bhutan,174,439,"1,787","16,639","11,185",21,"637,013",99,197,159
Bolivia,"6,975","121,877","485,418","7,894","16,930",28,"9,182,015",164,159,121
Bosnia and Herzegovina,"12,897","42,745","142,042","4,794","20,379",23,"3,915,238",200,142,147
Botswana,"1,347","3,869","14,198","6,160","6,937",46,"1,835,938",183,223,58
Brazil,"370,476","3,533,868","14,518,682","33,192","49,612",27,"186,830,759",55,73,126
British Indian Ocean Territory,5,13,25,"1,143","2,236",752,0,236,235,1
British Virgin Islands,170,860,"3,693","19,909","50,516",29,"22,016",83,72,117
Brunei Darussalam,999,"5,461","17,409","21,190","31,863",15,"373,831",75,99,191
Bulgaria,"13,584","62,918","192,036","36,679","44,627",13,"7,744,591",50,83,205
Burkina Faso,277,676,"2,772","5,499","14,187",52,"13,933,363",189,175,48
Burma,"8,278","83,291","289,226","18,855","20,421",35,"47,967,266",90,141,97
Burundi,64,129,445,"8,695","10,408",29,"7,858,791",155,202,117
Cambodia,"6,593","50,741","188,598","19,071","18,497",14,"13,955,507",89,152,198
Cameroon,465,"1,038","3,708","6,740","11,971",57,"17,795,149",177,189,43
Canada,"191,102","799,001","2,792,150","37,120","102,400",40,"32,270,507",48,29,84
Cape Verde,126,510,"1,712","8,259","17,575",25,"506,807",158,157,139
Cayman Islands,259,"1,623","5,298","13,953","38,224",20,"45,591",115,91,162
Central African Republic,12,13,37,"1,280","6,454",747,"4,191,429",235,225,2
Chad,31,42,105,"17,481","17,808",140,"10,145,609",94,155,21
