Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,"1,080","3,950","20,829","3,435","3,223",94,"25,067,407",203,226,36
Åland Islands,247,467,"1,124","55,621","66,293",11,0,19,31,225
Albania,"9,679","49,508","201,307","10,814","14,778",26,"3,153,731",105,141,160
Algeria,"12,220","39,516","194,803",991,"3,130",55,"32,854,159",234,228,73
American Samoa,86,196,629,"7,817","22,151",174,"64,051",131,99,19
Andorra,168,"1,490","7,088","103,984","107,653",6,"73,483",8,9,232
Angola,893,"3,437","16,210","4,022","10,168",66,"16,095,214",196,171,50
Anguilla,139,437,"1,395","8,967","21,040",26,"12,256",119,104,160
Antarctica,34,34,51,"10,124","52,222",194,0,106,48,16
Antigua and Barbuda,388,"2,945","18,333","3,330","11,052",64,"83,039",210,164,54
Argentina,"49,643","364,732","1,866,898","5,006","18,093",49,"38,747,148",179,117,87
Armenia,"5,071","33,440","113,629","15,295","16,351",18,"3,017,661",74,130,195
Aruba,309,"2,644","10,508","12,853","71,028",11,"102,897",90,27,225
Australia,"86,285","747,021","3,020,490","12,225","33,690",43,"20,310,208",94,71,107
Austria,"40,190","145,546","622,794","11,502","35,251",21,"8,291,979",100,69,181
Azerbaijan,"10,111","90,195","392,555","5,138","6,190",50,"8,352,021",173,210,85
Bahamas,834,"3,873","19,385","8,383","29,763",38,"323,295",125,79,125
Bahrain,952,"26,946","87,268","7,651","28,833",16,"724,788",134,82,200
Bangladesh,"21,209","112,128","584,548","18,287","13,570",28,"15,328,112",64,146,155
Barbados,651,"2,963","11,433","50,595","58,041",6,"291,933",22,42,232
Belarus,"14,082","56,057","181,574","21,245","25,874",26,"9,795,287",52,92,160
Belgium,"41,272","124,786","476,826","16,153","74,739",16,"10,398,049",73,23,200
Belize,"1,055","4,713","20,190","21,176","28,307",16,"275,546",53,84,200
Benin,215,530,"2,251","5,292","8,239",64,"8,490,301",169,192,54
Bermuda,158,"1,816","7,056","16,340","58,664",14,"64,174",71,41,212
Bhutan,204,581,"2,644","13,401","10,199",31,"637,013",86,170,148
Bolivia,"5,390","106,502","620,393","5,403","11,824",39,"9,182,015",166,159,119
Bosnia and Herzegovina,"12,616","43,118","166,593","3,682","16,419",27,"3,915,238",198,129,158
Botswana,"1,285","4,102","21,494","4,101","5,257",71,"1,835,938",195,215,45
Brazil,"351,335","3,792,141","18,935,328","17,501","27,325",36,"186,830,759",67,87,132
British Indian Ocean Territory,1,1,1,"1,184",838,733,0,232,235,2
British Virgin Islands,170,984,"4,679","7,679","23,725",85,"22,016",133,95,41
Brunei Darussalam,"1,081","8,253","29,269","11,657","19,126",16,"373,831",97,112,200
Bulgaria,"13,232","60,954","220,693","28,686","33,614",15,"7,744,591",45,72,207
Burkina Faso,288,512,"2,020","5,086","7,082",137,"13,933,363",174,201,26
Burma,"7,217","84,265","371,310","11,565","11,971",45,"47,967,266",98,158,99
Burundi,108,238,827,"7,261","8,281",37,"7,858,791",138,191,129
Cambodia,"6,019","64,405","222,065","17,511","15,780",21,"13,955,507",66,133,181
Cameroon,506,"1,099","4,324","5,648","7,966",64,"17,795,149",164,193,54
Canada,"193,095","926,740","3,909,501","26,074","67,551",53,"32,270,507",48,29,79
Cape Verde,136,691,"3,389","9,561","16,825",26,"506,807",112,126,160
Cayman Islands,256,"1,963","11,626","9,010","29,200",36,"45,591",118,80,132
Central African Republic,23,30,97,"3,372","5,218",556,"4,191,429",209,216,5
Chad,44,74,201,"8,959","12,592",102,"10,145,609",120,151,32
Chile,"19,670","283,443","1,401,500","31,043","55,559",48,"16,295,102",40,45,90
China,"589,349","2,223,616","9,172,677","34,321","101,353",14,"1,312,978,855",32,12,212
Christmas Island,10,20,64,"2,152","11,469",744,0,224,163,1
Cocos (Keeling) Islands,2,2,3,"11,365","16,854",443,0,103,125,6
Colombia,"29,344","554,426","2,995,978","6,576","12,240",94,"4,494,579",146,153,36
Comoros,9,11,22,"3,425","1,875",143,"797,902",204,233,24
Congo,110,228,896,"11,527","20,704",67,"3,609,851",99,106,49
Cook Islands,15,16,86,"3,176","8,903",55,"13,984",211,186,73
Costa Rica,"10,495","183,355","1,014,357","6,394","19,501",33,"4,327,228",151,111,142
Cote d'Ivoire,629,"1,426","5,276","5,239","9,907",80,"18,584,701",170,174,43
Croatia,"19,175","80,088","313,889","9,600","20,823",30,"455,149",111,105,149
Cuba,419,609,"2,659","2,494","3,066",231,"11,259,905",219,229,13
Cyprus,"5,238","42,720","191,117","5,818","17,790",26,"836,321",160,121,160
Czech Republic,"32,833","87,505","334,517","16,691","30,450",20,"10,191,762",69,76,186
Democratic Republic of the Congo,291,481,"1,562","4,251","4,915",180,"58,740,547",192,220,18
Denmark,"42,275","161,601","644,511","80,027","93,932",12,"5,416,945",12,15,220
Djibouti,58,315,"1,647","5,046","7,244",60,"804,206",176,197,62
Dominica,139,379,"1,454","21,026","30,486",28,"67,827",54,75,155
Dominican Republic,"10,163","118,463","608,455","3,039","9,063",53,"9,469,601",212,185,79
Ecuador,"19,058","174,113","945,982","11,431","12,364",50,"13,060,993",101,152,85
Egypt,"35,286","449,792","2,126,558","2,718","12,985",52,"72,849,793",217,150,81
El Salvador,"3,513","46,136","238,775","2,141","8,422",60,"6,668,356",225,188,62
Equatorial Guinea,84,145,408,"5,845","7,048",148,"484,098",158,202,22
Estonia,"6,462","19,991","60,846","29,801","39,344",18,"1,344,312",41,62,195
Ethiopia,"1,428","5,541","30,582","3,631","3,959",62,"78,985,857",199,223,60
Faroe Islands,524,"1,862","5,517","12,398","38,255",12,"48,205",93,65,220
Fiji,461,"1,305","4,939","4,826","10,406",54,"828,046",183,169,75
Finland,"40,084","111,955","377,288","29,794","58,736",22,"5,246,004",42,40,177
France,"158,888","427,783","1,561,349","48,658","59,847",39,"60,990,544",26,38,119
French Guiana,193,401,"1,541","34,055","47,163",46,"192,099",33,52,96
French Polynesia,584,"3,149","14,495","2,256","10,121",64,"255,632",222,172,54
Gabon,336,"1,093","4,155","4,683","18,301",44,"1,290,693",186,116,102
Gambia,239,805,"4,690","4,233","5,189",61,"1,617,029",193,217,61
Georgia,"5,614","18,278","59,646","18,321","17,921",28,"4,473,409",63,120,155
