Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,988,"3,418","13,544","4,181","3,672",87,"25,067,407",197,227,29
Åland Islands,259,499,"1,019","56,653","65,944",11,0,20,39,218
Albania,"8,274","42,388","132,000","12,401","16,818",21,"3,153,731",98,132,171
Algeria,"12,760","45,257","215,847","1,083","3,934",47,"32,854,159",232,225,70
American Samoa,79,219,918,"6,710","21,067",120,"64,051",155,112,25
Andorra,190,"1,689","4,051","91,274","97,335",7,"73,483",10,16,229
Angola,863,"3,182","12,291","4,277","10,162",43,"16,095,214",194,179,88
Anguilla,137,462,"1,243","10,604","23,908",20,"12,256",112,102,175
Antarctica,28,29,49,"20,493","50,198",166,0,64,53,17
Antigua and Barbuda,390,"2,593","11,968","3,659","11,929",47,"83,039",207,161,70
Argentina,"50,893","381,835","1,777,254","6,766","19,572",43,"38,747,148",153,116,88
Armenia,"4,878","30,511","94,650","17,152","17,705",16,"3,017,661",73,126,193
Aruba,308,"2,697","8,811","13,502","73,041",12,"102,897",92,31,215
Australia,"81,484","632,312","2,427,154","13,199","37,782",41,"20,310,208",94,69,97
Austria,"40,196","137,222","468,027","11,705","36,244",22,"8,291,979",104,72,165
Azerbaijan,"9,631","74,710","268,973","6,176","6,752",46,"8,352,021",165,207,75
Bahamas,853,"3,742","14,151","9,049","29,476",35,"323,295",125,89,119
Bahrain,952,"30,460","105,445","11,789","40,337",14,"724,788",103,64,205
Bangladesh,"24,906","138,682","647,910","19,030","13,862",26,"15,328,112",69,151,149
Barbados,644,"3,362","9,419","53,747","97,778",4,"291,933",22,15,233
Belarus,"13,598","50,652","140,256","22,268","27,333",23,"9,795,287",58,96,161
Belgium,"39,622","113,698","357,106","16,214","76,832",17,"10,398,049",79,26,189
Belize,"1,064","4,478","17,771","20,334","27,102",15,"275,546",65,97,200
Benin,178,396,"1,249","5,425","7,466",65,"8,490,301",183,200,44
Bermuda,171,"2,141","8,723","27,274","79,375",14,"64,174",50,23,205
Bhutan,179,509,"2,536","12,593","9,931",31,"637,013",97,182,132
Bolivia,"6,161","135,507","690,788","6,139","12,652",36,"9,182,015",166,155,115
Bosnia and Herzegovina,"12,232","40,405","135,420","3,907","16,813",26,"3,915,238",202,133,149
Botswana,"1,265","3,754","14,590","5,912","6,500",52,"1,835,938",172,211,59
Brazil,"360,688","3,906,150","17,952,217","20,795","31,212",28,"186,830,759",63,83,142
British Indian Ocean Territory,2,8,10,804,"1,256",792,0,233,232,1
British Virgin Islands,147,684,"2,678","9,679","30,942",45,"22,016",116,84,80
Brunei Darussalam,"1,030","6,333","20,804","12,351","19,981",19,"373,831",99,115,181
Bulgaria,"12,927","56,178","159,897","28,497","33,994",15,"7,744,591",47,76,200
Burkina Faso,230,428,"1,503","5,170","7,227",121,"13,933,363",185,203,24
Burma,"7,127","94,639","385,045","13,164","13,744",34,"47,967,266",95,152,121
Burundi,103,213,710,"6,740","5,865",32,"7,858,791",154,214,128
Cambodia,"6,034","56,849","167,529","18,321","16,245",17,"13,955,507",70,137,189
Cameroon,519,"1,009","3,967","5,357","8,822",38,"17,795,149",184,189,109
Canada,"197,005","940,287","3,374,270","27,999","71,092",47,"32,270,507",48,32,70
Cape Verde,129,599,"2,732","12,917","17,677",25,"506,807",96,127,153
Cayman Islands,259,"1,786","6,549","11,324","33,432",33,"45,591",106,77,125
Central African Republic,17,21,109,"1,214","1,318",590,"4,191,429",230,231,6
Chad,46,87,253,"8,049","17,620",113,"10,145,609",138,128,26
Chile,"19,764","282,748","1,211,474","39,386","66,158",45,"16,295,102",32,37,80
China,"516,009","1,771,400","6,254,166","36,937","112,499",15,"1,312,978,855",36,9,200
Christmas Island,7,13,42,"2,136","10,634",633,0,222,172,5
Cocos (Keeling) Islands,3,6,16,"5,009","14,044",688,0,187,149,3
Colombia,"31,899","553,106","2,633,838","7,062","12,978",77,"4,494,579",149,153,38
Comoros,9,11,18,"6,672","3,891",314,"797,902",156,226,9
Congo,143,351,"1,300","11,019","15,136",48,"3,609,851",108,143,68
Cook Islands,18,23,69,"1,397","6,287",70,"13,984",228,213,40
Costa Rica,"10,597","155,828","719,148","5,812","20,841",28,"4,327,228",174,113,142
Cote d'Ivoire,689,"1,590","5,313","7,117","12,624",44,"18,584,701",148,156,83
Croatia,"19,973","90,490","273,684","10,304","20,724",31,"455,149",115,114,132
Cuba,359,519,"1,388","2,034","2,428",216,"11,259,905",223,229,16
Cyprus,"5,161","41,014","132,088","6,359","18,531",25,"836,321",160,122,153
