Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,"1,074","3,491","14,643","4,412","3,920",65,"25,067,407",207,229,41
Åland Islands,227,447,"1,093","63,876","76,157",11,0,24,39,217
Albania,"8,048","41,138","153,784","15,335","21,176",23,"3,153,731",101,126,156
Algeria,"14,053","54,011","261,733","1,235","4,939",46,"32,854,159",233,224,69
American Samoa,85,205,665,"10,311","22,892",121,"64,051",133,121,23
Andorra,176,"1,352","4,373","132,409","137,788",12,"73,483",8,6,210
Angola,883,"3,001","10,205","4,978","9,341",57,"16,095,214",197,190,46
Anguilla,136,459,"1,480","12,517","31,285",27,"12,256",120,95,140
Antarctica,40,45,143,"25,880","45,665",249,0,61,65,11
Antigua and Barbuda,408,"2,552","11,569","4,329","12,100",49,"83,039",210,175,57
Argentina,"51,956","334,123","1,156,877","8,549","21,502",39,"38,747,148",149,125,88
Armenia,"4,754","30,591","99,917","19,363","19,666",14,"3,017,661",80,137,196
Aruba,299,"2,845","8,226","13,363","75,697",12,"102,897",114,40,210
Australia,"76,724","517,048","1,767,719","14,307","45,510",41,"20,310,208",107,66,86
Austria,"39,481","142,900","608,017","14,007","44,275",18,"8,291,979",110,69,180
Azerbaijan,"9,364","71,275","279,615","7,621","7,481",46,"8,352,021",160,206,69
Bahamas,829,"3,426","11,777","14,581","38,415",28,"323,295",105,78,134
Bahrain,953,"26,213","81,616","14,412","52,880",14,"724,788",106,59,196
Bangladesh,"20,776","101,497","407,473","21,218","16,972",17,"15,328,112",70,150,184
Barbados,635,"3,143","12,735","54,709","87,121",5,"291,933",29,36,234
Belarus,"12,167","50,554","163,307","26,666","31,249",20,"9,795,287",60,96,168
Belgium,"40,531","121,694","435,249","16,978","88,301",15,"10,398,049",94,34,191
Belize,"1,082","3,973","15,012","20,694","27,344",15,"275,546",72,105,191
Benin,184,458,"1,390","6,053","7,644",53,"8,490,301",183,204,51
Bermuda,155,"1,461","5,022","33,123","93,676",12,"64,174",52,28,210
Bhutan,179,392,"1,679","13,405","10,431",29,"637,013",113,186,127
Bolivia,"6,428","125,256","525,798","7,576","15,235",28,"9,182,015",162,159,134
Bosnia and Herzegovina,"13,527","49,275","189,974","4,409","18,829",25,"3,915,238",208,141,147
Botswana,"1,325","3,756","14,057","6,458","6,583",47,"1,835,938",179,214,65
Brazil,"357,997","3,457,913","14,434,626","28,210","40,612",28,"186,830,759",57,76,134
British Indian Ocean Territory,4,15,34,810,"2,138",752,0,235,233,1
British Virgin Islands,159,764,"2,849","15,491","37,205",27,"22,016",99,84,140
Brunei Darussalam,28,56,162,"17,156","28,991",136,"373,831",92,99,20
Bulgaria,"12,969","65,931","235,176","36,044","41,159",13,"7,744,591",47,74,201
Burkina Faso,261,487,"2,212","5,172","7,009",155,"13,933,363",195,209,18
Burma,"8,128","81,133","295,958","14,942","15,466",37,"47,967,266",102,156,93
Burundi,79,154,681,"7,443","7,404",28,"7,858,791",164,207,134
Cambodia,"5,934","49,358","153,515","19,502","17,953",13,"13,955,507",79,144,201
Cameroon,488,"1,057","4,576","7,762","11,948",49,"17,795,149",157,178,57
Canada,"186,101","836,865","3,360,678","35,581","90,086",39,"32,270,507",50,30,88
Cape Verde,126,585,"2,120","10,912","17,810",21,"506,807",126,146,165
Cayman Islands,246,"1,536","5,501","14,077","36,959",19,"45,591",109,85,175
Central African Republic,13,17,51,"1,542","2,492",506,"4,191,429",230,232,5
Chad,44,63,253,"8,813","25,540",203,"10,145,609",144,107,14
Chile,"21,279","252,031","902,377","59,844","88,393",42,"16,295,102",26,33,81
China,"544,550","1,695,214","6,195,853","40,516","131,406",13,"1,312,978,855",42,10,201
Christmas Island,9,22,48,"2,662","12,764",570,0,223,172,4
Cocos (Keeling) Islands,3,3,5,"1,321","5,260",696,0,232,222,2
Colombia,"32,646","502,089","2,141,527","8,547","15,333",66,"4,494,579",150,158,40
Comoros,9,11,19,"6,655","4,124",262,"797,902",175,228,10
Congo,199,560,"2,355","13,150","20,197",20,"3,609,851",115,132,168
Cook Islands,12,14,49,"4,489","7,265",45,"13,984",206,208,73
