Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,800,"1,873","8,973","4,174","5,217",65,"25,067,407",215,228,36
Åland Islands,232,447,"1,147","61,595","88,646",8,0,30,47,229
Albania,"6,369","30,635","97,645","18,783","28,415",17,"3,153,731",101,128,176
Algeria,"16,129","68,316","376,794","2,009","9,668",47,"32,854,159",228,210,60
American Samoa,83,220,"1,066","15,075","40,151",66,"64,051",121,98,34
Andorra,201,"1,880","4,611","117,113","123,923",8,"73,483",12,27,229
Angola,953,"3,367","11,647","6,172","13,153",45,"16,095,214",193,187,68
Anguilla,127,356,888,"11,535","33,296",31,"12,256",140,109,100
Antarctica,6,8,44,"5,113","58,395",595,0,202,77,7
Antigua and Barbuda,414,"3,041","10,840","8,241","18,132",31,"83,039",169,159,100
Argentina,"50,685","292,559","901,547","14,193","29,452",32,"38,747,148",124,121,95
Armenia,"4,544","28,249","90,040","23,870","26,508",13,"3,017,661",75,134,199
Aruba,305,"3,344","8,762","13,861","83,626",12,"102,897",127,50,204
Australia,"83,773","545,253","1,768,548","14,959","57,891",46,"20,310,208",123,79,63
Austria,"39,168","135,271","467,902","16,588","54,100",19,"8,291,979",113,83,158
Azerbaijan,"9,742","75,439","268,821","10,356","11,340",40,"8,352,021",146,199,73
Bahamas,870,"4,188","13,289","20,853","56,784",27,"323,295",91,81,120
Bahrain,929,"23,129","58,835","18,541","76,517",11,"724,788",105,56,210
Bangladesh,"20,220","83,162","306,441","24,944","24,616",12,"15,328,112",73,138,204
Barbados,774,"5,145","12,726","59,434","129,609",5,"291,933",32,23,234
Belarus,"12,462","49,250","154,380","31,303","39,590",19,"9,795,287",61,100,158
Belgium,"39,559","116,496","351,510","18,446","106,656",16,"10,398,049",106,37,183
Belize,"1,148","4,104","13,314","22,220","29,536",16,"275,546",85,120,183
Benin,201,521,"1,714","7,566","11,824",57,"8,490,301",175,194,43
Bermuda,157,"1,417","4,834","37,614","112,064",13,"64,174",56,35,199
Bhutan,179,434,"1,370","15,230","12,391",30,"637,013",120,190,104
Bolivia,"7,029","81,157","290,499","8,940","18,679",27,"9,182,015",161,156,120
Bosnia and Herzegovina,"13,109","45,495","149,433","5,187","21,514",26,"3,915,238",200,146,127
Botswana,"1,485","3,985","12,958","7,164","9,720",51,"1,835,938",181,209,54
Brazil,"350,997","3,111,550","11,255,354","45,305","66,087",21,"186,830,759",51,68,147
British Indian Ocean Territory,5,20,56,856,"3,203",752,0,233,232,2
British Virgin Islands,178,951,"3,318","20,147","66,766",24,"22,016",93,67,133
Brunei Darussalam,"1,180","10,550","50,374","21,074","32,944",18,"373,831",88,110,168
Bulgaria,"13,034","70,939","219,886","40,173","49,299",14,"7,744,591",54,88,195
Burkina Faso,354,"1,581","4,797","7,536","21,116",47,"13,933,363",178,149,60
Burma,"8,498","67,722","218,511","18,557","20,003",27,"47,967,266",104,153,120
Burundi,83,166,432,"6,761","9,199",35,"7,858,791",187,213,85
Cambodia,"6,370","52,895","156,271","20,892","20,472",13,"13,955,507",90,151,199
Cameroon,530,"1,197","4,563","7,868","14,895",54,"17,795,149",174,177,46
Canada,"186,659","824,554","2,655,438","47,499","120,603",36,"32,270,507",47,30,81
