Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Cape Verde,149,746,"2,361","9,018","19,240",24,"506,807",158,155,133
Cayman Islands,259,"1,827","6,138","20,811","50,863",18,"45,591",92,84,168
Central African Republic,8,11,26,"1,954","2,132",804,"4,191,429",230,235,1
Chad,26,42,88,"12,290","10,716",136,"10,145,609",137,204,19
Chile,"21,279","243,184","777,327","103,816","149,839",34,"16,295,102",18,14,90
China,"492,248","1,651,181","6,073,502","48,580","177,127",15,"1,312,978,855",46,4,188
Christmas Island,10,34,60,"3,785","11,920",267,0,216,193,13
Cocos (Keeling) Islands,1,4,5,"9,485","29,219",688,0,154,124,4
Colombia,"32,771","471,051","1,713,049","15,251","26,807",49,"4,494,579",119,132,56
Comoros,7,7,9,"4,773","4,753",250,"797,902",208,229,14
Congo,334,"1,434","3,263","5,403","15,935",28,"3,609,851",197,170,114
Cook Islands,23,33,72,"4,868","12,400",16,"13,984",206,189,183
Costa Rica,"10,435","144,542","541,322","14,970","36,477",21,"4,327,228",122,105,147
Cote d'Ivoire,557,"1,890","6,522","10,086","34,471",36,"18,584,701",148,108,81
Croatia,"16,318","74,160","256,638","19,034","36,639",23,"455,149",99,104,137
Cuba,500,909,"2,772","2,495","3,551",181,"11,259,905",225,230,16
Cyprus,"5,014","43,815","131,778","11,675","31,678",22,"836,321",139,118,143
Czech Republic,"30,558","84,813","281,182","24,158","48,539",19,"10,191,762",74,90,158
Democratic Republic of the Congo,168,275,"1,096","4,395","10,882",375,"58,740,547",213,202,9
Denmark,"39,179","139,313","460,787","120,530","156,852",10,"5,416,945",10,12,217
Djibouti,61,310,958,"10,570","10,858",54,"804,206",145,203,46
Dominica,175,435,"1,591","48,741","59,008",9,"67,827",44,75,222
Dominican Republic,"9,902","106,297","378,892","6,335","14,494",30,"9,469,601",191,179,104
Ecuador,"25,071","208,972","705,258","22,288","23,780",19,"13,060,993",82,141,158
Egypt,"32,556","365,112","1,337,710","5,272","17,467",38,"72,849,793",199,161,78
El Salvador,"4,443","52,224","193,238","4,460","14,784",29,"6,668,356",211,178,109
Equatorial Guinea,122,257,868,"4,586","6,120",90,"484,098",209,224,27
Estonia,"5,714","17,082","47,718","48,629","63,087",15,"1,344,312",45,70,188
Ethiopia,"1,162","3,740","12,943","5,278","5,669",70,"78,985,857",198,225,33
Faroe Islands,401,974,"2,375","22,223","48,101",11,"48,205",84,91,210
Fiji,521,"1,232","3,760","9,208","16,312",46,"828,046",156,169,63
Finland,"37,132","102,105","316,510","49,051","101,070",19,"5,246,004",43,42,158
France,"164,988","430,933","1,264,195","103,571","137,092",30,"60,990,544",19,17,104
French Guiana,234,554,"1,334","58,498","84,116",52,"192,099",33,49,52
French Polynesia,550,"2,610","8,065","5,121","13,547",52,"255,632",201,184,52
French Southern and Antarctic Lands,1,1,1,644,"12,833",36,0,235,188,81
Gabon,527,"2,759","6,460","3,737","14,088",23,"1,290,693",217,181,137
Gambia,258,783,"3,010","4,402","8,365",57,"1,617,029",212,216,43
Georgia,"4,135","15,458","40,633","21,137","21,160",19,"4,473,409",87,147,158
Germany,"248,896","879,191","2,953,779","26,233","86,986",19,"82,652,369",68,48,158
Ghana,"1,767","4,493","15,113","22,430","31,913",38,"2,253,501",80,117,78
Gibraltar,30,827,"2,380","68,356","106,294",11,291,26,38,210
Greece,"28,213","227,152","813,168","4,894","23,589",33,"11,099,737",205,142,93
Greenland,265,"1,356","3,724","9,548","26,281",31,"57,475",153,135,100
Grenada,315,873,"2,349","12,961","57,236",28,"105,237",132,80,114
Guadeloupe,925,"2,438","7,564","52,173","76,335",53,"438,403",40,57,50
Guam,493,"3,314","9,736","6,903","48,612",17,"16,857",185,89,176
Guatemala,"7,664","76,186","285,778","6,298","15,023",29,"12,709,564",192,175,109
Guernsey,352,"2,701","8,487","7,974","29,225",34,0,172,123,90
Guinea,53,77,244,"7,984","9,270",54,"9,002,656",171,211,46
Guinea-Bissau,18,31,70,"3,245","3,308",92,"1,596,929",222,231,26
Guyana,914,"5,130","21,274","11,449","32,768",29,"739,472",142,112,109
Haiti,642,"1,686","6,547","8,695","15,331",26,"9,296,291",164,173,127
Holy See (Vatican City),6,459,"1,308","53,816","123,210",10,783,39,28,217
Honduras,"5,384","42,095","145,086","9,765","17,345",24,"683,411",150,163,133
Hong Kong,"1,475","106,500","391,944","140,597","183,041",15,"7,057,418",7,3,188
Hungary,"30,894","136,912","412,210","67,248","129,705",18,"10,086,387",28,22,168
Iceland,"2,053","7,154","16,812","150,652","169,287",7,"295,732",5,7,233
India,"234,014","2,601,581","9,869,287","45,490","45,524",20,"1,134,403,141",50,93,153
Indonesia,"157,675","1,235,382","4,966,374","7,547","15,581",23,"226,063,044",177,172,137
Iran (Islamic Republic of),"22,505","117,810","356,040","5,074","13,175",48,"69,420,607",203,186,58
Iraq,"15,546","62,578","181,324","18,617","20,472",25,"27,995,984",103,151,131
Ireland,"53,461","157,976","597,640","25,275","90,612",24,"4,143,294",71,46,133
Isle of Man,709,"4,120","13,859","16,666","67,742",26,"78,357",112,66,127
Israel,"8,271","116,852","410,855","23,249","115,304",16,"6,692,037",78,34,183
Italy,"216,503","1,287,723","4,605,338","18,965","50,571",29,"5,864,636",100,85,109
Jamaica,"5,397","21,574","78,738","15,884","29,020",28,"2,682,469",117,126,114
Japan,"87,500","320,177","1,191,852","123,666","139,375",20,"127,896,740",9,16,153
Jersey,520,"3,235","10,277","158,093","167,953",4,0,2,8,236
Jordan,"6,188","122,012","441,053","32,012","40,458",30,"5,544,066",60,97,104
Kazakhstan,"18,724","88,066","270,923","22,247","25,432",32,"15,210,609",83,137,95
Kenya,"4,451","19,204","92,711","12,842","13,635",35,"35,598,952",133,183,85
Kiribati,2,2,8,"1,997","29,061",597,"92,003",229,125,6
"Korea, Democratic People's Republic of",25,36,76,"54,100","121,925",61,"23,615,611",38,29,39
"Korea, Republic of","16,080","52,843","172,619","152,088","162,044",9,"47,869,837",4,10,222
Kuwait,"2,186","15,608","40,597","26,307","116,755",21,"2,700",66,31,147
Kyrgyzstan,"2,403","7,543","20,670","36,256","34,727",19,"5,203,547",57,107,158
Lao People's Democratic Republic,"3,877","15,327","46,110","34,343","38,196",15,"566,391",59,103,188
Latvia,"8,468","28,897","106,273","47,244","61,545",22,"2,301,793",48,72,143
Lebanon,"6,901","41,252","146,496","7,557","11,367",35,"401,074",176,198,85
Lesotho,115,201,930,"12,823","18,441",23,"1,980,831",134,158,137
Liberia,85,303,"2,517","14,025","16,643",44,"3,441,796",126,166,70
Libyan Arab Jamahiriya,"6,571","17,532","55,049","9,825","17,099",46,"5,918,217",149,165,63
Liechtenstein,228,"1,133","3,608","99,265","133,687",9,"34,598",20,19,222
Lithuania,"10,045","29,999","100,190","67,916","80,369",18,"3,425,077",27,52,168
Luxembourg,"2,612","14,639","44,201","90,409","141,318",12,"456,613",21,15,204
Macau,35,"12,843","51,471","133,666","162,632",5,"47,309",8,9,234
Madagascar,357,713,"2,044","30,875","32,422",19,"18,642,586",62,114,158
Malawi,215,415,"1,279","6,807","11,150",31,"13,226,091",186,200,100
Malaysia,"34,477","576,945","1,871,864","38,344","81,394",21,"25,652,985",55,51,147
Maldives,43,"1,558","3,567","14,070","16,518",10,"295,297",125,167,217
Mali,534,"1,851","5,578","5,046","18,500",40,"1,161,109",204,157,73
Malta,786,"12,658","37,631","19,187","116,115",12,"402,617",98,32,204
Marshall Islands,3,4,27,"1,356","6,167",111,"5,672",232,223,21
Martinique,682,"1,505","4,248","23,353","43,239",32,"395,896",77,95,95
Mauritania,232,887,"3,123","3,698","9,264",97,"2,963,105",218,212,24
Mauritius,"1,935","15,034","47,523","13,619","36,299",9,"1,241,173",130,106,222
Mayotte,65,103,380,"3,264","17,456",290,0,220,162,11
Mexico,"140,626","1,847,934","6,340,120","11,971","27,449",45,"104,266,392",138,130,68
"Micronesia, Federated States of",99,251,"1,012","5,472","11,804",156,"110,058",196,195,18
Monaco,38,"1,170","3,454","86,994","126,498",65,325,22,26,36
Mongolia,"1,028","4,027","9,227","25,755","39,596",18,"2,580,704",70,99,168
Montenegro,"1,820","9,093","27,452","8,337","57,958",15,"607,969",167,78,188
Montserrat,54,387,"1,821","19,960","58,996",17,"5,628",96,76,176
Morocco,"14,352","170,902","695,484","13,647","23,895",43,"30,494,991",129,140,72
Mozambique,830,"2,467","7,990","7,084","7,903",35,"20,532,675",182,220,85
Namibia,"1,650","5,688","17,304","7,317","11,626",64,"2,019,677",179,196,38
Nauru,2,3,4,614,"2,373",504,"10,111",236,234,8
Nepal,"13,534","62,981","215,197","26,316","28,360",16,"27,093,656",65,129,183
Netherlands,"56,945","378,479","1,340,193","75,263","126,500",13,"1,632,769",24,25,199
Netherlands Antilles,572,"5,323","16,713","12,684","50,485",18,"186,392",135,86,168
New Caledonia,381,"1,324","4,607","23,689","47,175",17,"234,185",76,92,176
New Zealand,"21,612","87,768","335,611","58,256","103,562",28,"4,097,112",34,40,114
Nicaragua,"2,256","25,838","91,777","8,953","22,349",20,"5,462,539",159,144,153
Niger,131,220,762,"5,622","5,418",105,"1,326,419",194,227,22
Nigeria,"2,553","7,020","27,651","8,576","12,033",73,"141,356,083",166,191,32
Niue,2,2,8,730,"1,694",644,"1,632",234,236,5
Norfolk Island,26,46,134,"2,185","21,569",727,0,226,145,3
Northern Mariana Islands,141,632,"1,574","15,449","44,618",17,"80,258",118,94,176
Norway,"51,129","156,491","478,318","114,393","130,677",14,"4,638,836",13,21,195
Oman,"11,745","80,837","261,776","22,334","56,366",32,"2,507,042",81,82,95
Pakistan,"38,976","384,253","1,488,041","6,474","8,395",39,"158,080,591",190,215,75
Palau,44,110,295,"9,427","16,430",49,"20,127",155,168,56
Palestine,"1,175","17,874","61,124","16,669","74,219",18,"3,762,005",111,61,168
Panama,"5,202","64,712","212,801","18,369","100,701",22,"3,231,502",107,43,143
Papua New Guinea,130,263,944,"4,582","14,938",281,"6,069,715",210,176,12
Paraguay,"7,403","44,647","128,760","16,365","38,911",20,"5,904,342",115,101,153
Peru,"12,910","124,944","509,215","21,715","32,194",30,"27,274,266",86,115,104
Philippines,"95,791","1,495,333","6,943,733","36,011","38,255",36,"84,566,163",58,102,81
Poland,"87,286","244,279","823,092","43,812","102,589",19,"38,195,558",52,41,158
Portugal,"40,736","181,223","573,736","55,292","115,680",18,"10,528,226",36,33,168
Puerto Rico,"11,303","92,158","367,250","20,125","77,925",39,"3,946,779",94,54,75
Qatar,"2,119","33,222","100,595","60,086","107,009",10,"796,186",31,36,217
Republic of Moldova,"4,604","15,422","44,995","69,709","73,109",11,"3,876,661",25,62,210
Reunion,959,"2,109","5,686","146,450","171,162",9,"785,159",6,6,222
Romania,"35,491","138,135","434,324","109,347","128,562",11,"21,627,557",16,24,210
Russia,"252,100","1,472,766","4,591,307","62,966","62,293",13,"143,953,092",29,71,199
Rwanda,414,"1,401","2,896","6,934","17,758",27,"9,233,793",184,160,120
Saint Barthelemy,134,"2,235","7,452","19,822","30,696",34,0,97,119,90
Saint Kitts and Nevis,238,959,"4,069","10,752","28,854",15,"49,138",144,127,188
Saint Lucia,442,"1,816","5,747","18,022","63,344",59,"16,124",109,69,41
Saint Martin,75,406,"1,001","55,663","74,854",59,0,35,60,41
Saint Pierre and Miquelon,46,143,389,"11,466","68,242",12,"6,346",141,65,204
Saint Vincent and the Grenadines,219,780,"3,390","13,603","70,849",14,"119,137",131,64,195
Samoa,14,22,56,"11,449","15,278",17,"183,845",142,174,176
San Marino,192,"1,021","2,639","16,521","92,405",21,"30,214",114,45,147
Sao Tome and Principe,53,109,262,"6,996","17,138",28,"152,622",183,164,114
Saudi Arabia,"38,076","502,062","1,623,594","26,246","75,126",39,"2,361,236",67,59,75
Senegal,948,"5,378","15,555","6,581","22,740",56,"1,177,034",189,143,45
Serbia,"20,329","104,702","338,478","13,831","41,413",17,"9,863,026",128,96,176
Seychelles,217,"1,110","2,394","25,765","29,267",22,"85,532",69,122,143
Sierra Leone,130,321,"1,188","5,501","10,478",33,"5,586,403",195,205,93
Singapore,"1,037","99,506","428,865","186,426","203,097",8,"4,327,468",1,1,229
Slovakia,"18,754","65,561","230,489","25,225","61,265",20,"5,386,995",72,73,153
Slovenia,"10,488","30,137","92,974","29,793","71,555",15,"1,999,425",64,63,188
Solomon Islands,27,47,124,"4,799","10,368",163,"472,419",207,206,17
Somalia,337,775,"2,362","7,895","8,115",74,"8,196,395",173,219,31
South Africa,"41,257","292,195","1,239,776","18,266","27,305",35,"47,938,663",108,131,85
Spain,"65,154","350,632","1,224,758","118,466","136,889",27,"43,397,491",11,18,120
Sri Lanka,"24,911","65,720","213,836","7,207","19,481",28,"19,120,763",180,154,114
Sudan,719,"1,917","7,029","4,284","6,499",124,"36,899,747",214,222,20
Suriname,859,"3,341","9,280","3,246","11,937",26,"452,468",221,192,127
Svalbard,23,47,82,"110,804","103,919",48,0,15,39,58
Swaziland,307,572,"2,888","8,305","9,960",84,"1,124,529",168,208,29
Sweden,"33,322","68,127","242,252","106,573","131,640",14,"9,038,049",17,20,195
Switzerland,"26,115","125,344","373,766","78,625","151,767",12,"7,424,389",23,13,204
Syrian Arab Republic,"9,805","52,827","211,582","9,141","8,166",44,"18,893,881",157,218,70
Taiwan,"21,965","436,710","1,625,433","41,678","94,792",10,0,53,44,217
Tajikistan,548,"1,363","3,623","20,041","20,490",29,"6,550,213",95,150,109
Thailand,"122,308","713,151","2,320,539","153,516","176,972",9,"63,002,911",3,5,222
The former Yugoslav Republic of Macedonia,"4,229","27,938","90,396","12,592","24,606",23,"2,033,655",136,139,137
Timor-Leste,37,88,271,"8,621","10,891",54,"1,067,285",165,201,46
Togo,"1,459","10,470","55,922","3,450","15,797",27,"6,238,572",219,171,120
Tonga,11,13,36,"18,641","21,159",95,"99,361",102,148,25
Trinidad and Tobago,"3,041","20,860","61,196","50,284","77,625",11,"1,323,722",42,55,210
Tunisia,"6,923","47,119","205,746","2,659","8,823",47,"10,104,685",224,214,60
Turkey,"52,144","425,517","1,356,206","6,713","26,767",25,"72,969,723",188,133,131
Turkmenistan,"2,075","5,319","20,649","2,993","2,383",51,"4,833,266",223,233,54
Turks and Caicos Islands,95,304,877,"16,727","32,155",61,"24,459",110,116,39
Uganda,775,"2,481","10,407","9,655","10,267",46,"28,947,181",151,207,63
Ukraine,"93,229","409,240","1,311,579","50,937","49,705",11,"46,917,544",41,87,210
United Arab Emirates,"11,200","269,101","757,428","112,873","185,319",9,"4,104,291",14,2,222
United Kingdom,"271,959","1,960,546","7,510,589","23,059","75,351",27,"60,244,834",79,58,120
United Republic of Tanzania,706,"1,723","5,486","9,638","13,399",53,"38,477,873",152,185,50
United States,"1,571,796","6,031,085","18,486,688","46,997","160,559",37,"299,846,449",49,11,80
United States Virgin Islands,544,"2,224","7,375","8,789","32,798",32,"111,408",162,111,95
Uruguay,"2,979","13,619","46,802","20,995","79,940",23,"3,325,727",89,53,137
Uzbekistan,"9,124","28,203","87,884","30,497","32,632",21,"26,593,123",63,113,147
Vanuatu,71,166,678,"8,946","14,358",189,"215,366",160,180,15
Venezuela,"11,816","100,041","495,229","10,246","13,904",76,"26,725,573",147,182,30
Viet Nam,"119,392","635,376","2,332,765","54,471","59,051",8,"85,028,643",37,74,229
Wallis and Futuna Islands,8,13,34,"2,143","6,668",314,"15,079",227,221,10
Western Sahara,174,"1,442","5,331","16,226","26,095",46,"440,428",116,136,63
Yemen,"1,652","4,575","19,819","1,784","5,597",100,"21,095,679",231,226,23
Zambia,386,595,"1,504","8,150","8,300",86,"11,478,317",170,217,28
Zimbabwe,979,"1,499","4,665","8,766","11,560",66,"13,119,679",163,197,34
