Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Lebanon,"6,749","41,499","159,487","7,722","11,221",38,"401,074",180,203,78
Puerto Rico,"11,254","88,097","353,038","22,472","77,957",37,"3,946,779",93,62,81
Guernsey,342,"2,468","8,316","8,776","33,044",37,0,170,116,81
Pakistan,"42,396","475,664","1,909,378","6,902","8,476",37,"158,080,591",190,218,81
Mozambique,855,"2,264","7,148","6,766","7,885",37,"20,532,675",191,221,81
Timor-Leste,52,133,370,"8,799","10,810",36,"1,067,285",169,204,85
Philippines,"95,223","1,415,429","6,728,124","39,066","40,371",35,"84,566,163",57,103,86
Burkina Faso,416,"1,889","5,478","8,122","22,357",35,"13,933,363",174,147,86
Antigua and Barbuda,426,"3,151","10,708","9,651","20,920",35,"83,039",157,151,86
Kenya,"4,562","19,906","96,822","12,734","12,985",35,"35,598,952",144,190,86
United States,"1,558,580","5,911,222","19,511,944","51,052","171,224",34,"299,846,449",45,10,90
Chile,"22,907","252,150","821,788","108,226","153,514",34,"16,295,102",20,16,90
Canada,"181,179","794,617","2,802,169","52,392","134,534",34,"32,270,507",43,25,90
Greenland,275,"1,366","3,857","13,932","31,681",34,"57,475",137,119,90
Saint Kitts and Nevis,220,"1,025","4,489","11,057","30,358",34,"49,138",149,127,90
Palau,37,103,244,"8,007","14,632",34,"20,127",177,181,90
Oman,"11,991","81,312","269,581","21,778","55,550",33,"2,507,042",98,82,96
South Africa,"39,962","268,789","1,125,603","19,796","29,090",33,"47,938,663",111,132,96
Kazakhstan,"19,636","90,166","274,091","22,546","25,793",33,"15,210,609",91,139,96
Madagascar,433,858,"2,628","28,229","29,849",32,"18,642,586",68,128,99
Malawi,234,438,"1,405","7,118","10,351",32,"13,226,091",186,208,99
Argentina,"51,143","298,193","940,300","16,288","31,622",31,"38,747,148",129,121,101
Greece,"29,158","242,329","973,273","4,780","25,151",31,"11,099,737",211,140,101
Cape Verde,160,882,"2,953","8,853","19,622",31,"506,807",168,159,101
Lesotho,101,187,596,"12,811","17,136",31,"1,980,831",143,166,101
Jordan,"6,998","133,774","507,028","34,650","41,591",30,"5,544,066",62,100,105
New Zealand,"21,391","82,705","286,779","66,351","117,593",29,"4,097,112",32,39,106
Svalbard,17,40,57,"100,703","113,672",28,0,21,40,107
Martinique,673,"1,543","4,427","36,361","61,081",28,"395,896",60,78,107
Italy,"208,892","1,208,776","4,707,297","21,948","55,259",28,"5,864,636",97,84,107
Guyana,932,"4,953","19,970","11,356","31,785",28,"739,472",146,118,107
Bolivia,"7,349","98,288","351,031","9,015","18,610",28,"9,182,015",166,161,107
Dominican Republic,"9,783","107,935","394,126","6,541","14,980",28,"9,469,601",193,180,107
Burma,"9,447","77,158","257,068","19,168","19,801",27,"47,967,266",118,158,113
El Salvador,"4,614","56,460","231,863","4,916","15,778",27,"6,668,356",208,173,113
Suriname,916,"3,461","9,211","4,342","12,612",27,"452,468",215,192,113
Sierra Leone,126,294,"1,082","6,383","11,843",27,"5,586,403",194,197,113
France,"176,759","482,076","1,555,696","122,394","155,979",26,"60,990,544",13,15,117
Bahamas,892,"4,236","14,523","20,296","58,312",26,"323,295",109,79,117
Sri Lanka,"27,317","76,077","228,190","7,610","21,144",26,"19,120,763",181,150,117
Guatemala,"8,216","95,159","437,838","7,399","17,297",26,"12,709,564",183,164,117
Haiti,725,"1,778","7,432","9,067","16,003",26,"9,296,291",165,171,117
Djibouti,54,275,889,"14,859","15,214",26,"804,206",131,178,117
Monaco,44,"1,193","3,544","124,793","161,741",25,325,11,13,123
