Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,874,"2,573","9,475","4,364","3,687",71,"25,067,407",202,227,36
Åland Islands,217,411,979,"58,261","68,813",8,0,26,43,226
Albania,"7,531","37,113","130,957","14,067","19,184",22,"3,153,731",97,125,161
Algeria,"12,163","40,447","180,785","1,395","4,512",49,"32,854,159",232,225,64
American Samoa,73,153,535,"11,022","21,869",144,"64,051",120,115,21
Andorra,168,"1,299","4,663","124,841","126,996",5,"73,483",6,8,233
Angola,784,"2,581","8,349","4,501","9,237",37,"16,095,214",201,193,101
Anguilla,129,354,910,"11,915","25,957",26,"12,256",111,98,145
Antarctica,35,38,63,"17,528","48,098",182,0,83,59,16
Antigua and Barbuda,389,"2,315","9,391","6,199","12,902",52,"83,039",183,164,54
Argentina,"50,954","334,226","1,284,408","7,840","20,617",39,"38,747,148",154,119,90
Armenia,"4,275","23,816","74,663","18,381","18,982",14,"3,017,661",79,127,200
Aruba,300,"2,291","6,940","13,444","76,405",11,"102,897",105,37,218
Australia,"74,418","466,924","1,478,303","13,928","41,550",41,"20,310,208",100,70,81
Austria,"38,130","130,983","520,883","13,190","41,025",20,"8,291,979",106,71,170
Azerbaijan,"7,307","52,725","203,628","7,571","7,583",47,"8,352,021",159,205,69
Bahamas,739,"3,004","11,008","10,919","31,728",28,"323,295",121,88,129
Bahrain,919,"23,879","72,370","14,162","48,051",14,"724,788",95,60,200
Bangladesh,"21,646","110,500","457,115","20,706","15,949",17,"15,328,112",68,149,184
Barbados,622,"3,177","9,184","53,463","87,760",5,"291,933",28,24,233
Belarus,"11,983","48,532","160,609","24,765","29,475",23,"9,795,287",57,95,158
Belgium,"38,588","108,739","378,308","16,634","83,540",15,"10,398,049",88,29,193
Belize,"1,048","3,861","14,839","20,427","25,859",13,"275,546",70,99,206
Benin,239,526,"1,715","6,786","10,279",55,"8,490,301",167,185,51
Bermuda,160,"1,520","4,621","34,171","93,136",12,"64,174",48,21,211
Bhutan,159,402,"1,985","14,073","10,583",22,"637,013",96,180,161
Bolivia,"5,911","106,398","402,661","7,078","13,906",28,"9,182,015",161,160,129
Bosnia and Herzegovina,"12,005","42,203","161,883","4,294","18,515",26,"3,915,238",204,129,145
Botswana,"1,356","3,613","12,423","6,850","7,123",49,"1,835,938",165,210,64
Brazil,"341,583","3,320,413","13,477,951","24,470","35,490",28,"186,830,759",59,80,129
British Indian Ocean Territory,2,10,17,673,"2,251",734,0,236,232,2
British Virgin Islands,158,575,"2,068","12,866","36,186",41,"22,016",107,78,81
Brunei Darussalam,20,39,130,"18,945","39,573",265,"373,831",77,72,10
Bulgaria,"12,473","61,177","211,236","33,452","37,791",13,"7,744,591",49,74,206
Burkina Faso,251,441,"1,555","7,000","9,271",121,"13,933,363",163,192,24
Burma,"6,897","81,235","338,464","15,867","16,307",26,"47,967,266",90,147,145
