Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,802,"1,722","8,108","3,879","4,012",61,"25,067,407",224,231,43
Åland Islands,221,428,981,"70,630","86,634",12,0,33,54,209
Albania,"6,300","29,814","93,595","21,311","33,064",14,"3,153,731",109,124,195
Algeria,"15,822","60,235","292,464","2,115","9,711",48,"32,854,159",230,208,59
American Samoa,78,165,770,"23,597","46,345",35,"64,051",98,96,96
Andorra,188,"1,575","4,274","127,017","133,187",6,"73,483",13,28,236
Angola,920,"2,953","10,187","6,886","13,415",44,"16,095,214",194,184,66
Anguilla,129,375,926,"16,176","44,749",20,"12,256",128,100,148
Antarctica,4,4,6,"2,570","7,234",563,0,227,221,10
Antigua and Barbuda,389,"2,406","8,022","10,229","23,091",34,"83,039",156,147,103
Argentina,"49,645","297,806","990,974","18,707","34,410",28,"38,747,148",120,119,117
Armenia,"4,593","30,126","94,417","30,212","33,114",12,"3,017,661",73,123,209
Aruba,312,"3,715","10,357","14,672","86,343",14,"102,897",135,55,195
Australia,"84,216","499,027","1,604,532","14,931","58,726",49,"20,310,208",132,80,57
Austria,"34,328","109,024","346,537","18,411","58,884",18,"8,291,979",123,79,163
Azerbaijan,"10,165","76,246","279,183","12,974","13,545",39,"8,352,021",141,183,83
Bahamas,821,"3,793","11,754","19,092","57,387",36,"323,295",119,83,93
Bahrain,896,"22,390","57,151","37,433","76,444",11,"724,788",63,66,219
Bangladesh,"16,689","63,747","232,000","28,088","25,818",12,"15,328,112",80,140,209
Barbados,736,"4,135","9,828","62,042","136,294",5,"291,933",37,22,237
Belarus,"11,921","39,037","113,101","32,325","40,389",20,"9,795,287",68,106,148
Belgium,"37,822","108,702","325,372","20,964","108,495",16,"10,398,049",112,45,181
Belize,"1,133","4,435","12,631","26,851","35,671",18,"275,546",87,114,163
Benin,223,594,"2,289","7,803","12,770",39,"8,490,301",185,189,83
Bermuda,157,"1,360","3,988","39,915","122,349",17,"64,174",60,37,176
Bhutan,209,507,"2,069","17,153","12,497",24,"637,013",127,191,134
Bolivia,"7,471","92,151","338,958","9,174","18,701",27,"9,182,015",168,161,120
Bosnia and Herzegovina,"12,728","43,037","143,168","6,174","23,782",26,"3,915,238",202,144,124
Botswana,"1,425","3,653","13,097","6,845","8,425",61,"1,835,938",196,213,43
Brazil,"341,649","2,983,064","11,339,832","55,523","77,601",21,"186,830,759",40,64,145
British Indian Ocean Territory,3,17,39,541,"2,554",823,0,237,237,2
British Virgin Islands,209,"1,242","4,142","26,349","79,879",18,"22,016",89,62,163
Brunei Darussalam,"1,076","6,075","19,123","22,476","34,296",14,"373,831",101,120,195
Bulgaria,"11,790","59,065","169,140","44,378","53,714",14,"7,744,591",55,88,195
Burkina Faso,473,"3,282","10,364","9,803","25,677",32,"13,933,363",161,141,106
Burma,"10,017","70,885","219,214","20,181","19,949",23,"47,967,266",116,157,137
Burundi,71,165,652,"8,854","8,285",38,"7,858,791",170,215,88
Cambodia,"6,373","54,400","160,238","21,275","20,230",14,"13,955,507",110,155,195
Cameroon,480,"1,138","4,293","6,042","12,954",94,"17,795,149",203,186,31
Canada,"187,052","774,346","2,591,034","52,388","128,123",38,"32,270,507",46,33,88
Cape Verde,173,918,"3,098","6,793","14,888",44,"506,807",197,178,66
Cayman Islands,261,"1,611","4,596","27,430","62,417",18,"45,591",84,77,163
Central African Republic,12,12,28,"4,313","9,116",749,"4,191,429",222,209,6
Chad,29,39,70,"7,528","18,364",99,"10,145,609",188,165,27
Chile,"21,624","251,473","826,399","127,220","172,623",29,"16,295,102",12,10,114
China,"463,218","1,330,517","5,052,310","53,468","209,372",16,"1,312,978,855",44,2,181
Christmas Island,11,40,150,"2,813","6,563",221,0,226,225,16
Cocos (Keeling) Islands,2,4,4,"4,570","12,057",821,0,218,196,3
Colombia,"32,566","480,420","1,854,453","21,971","34,249",44,"4,494,579",104,121,66
Comoros,6,7,36,"8,620","6,905",157,"797,902",176,224,18
Congo,412,"2,514","6,098","8,685","28,207",18,"3,609,851",175,134,163
Cook Islands,33,60,115,"7,602","16,429",115,"13,984",187,169,22
Costa Rica,"10,313","134,933","488,451","20,861","40,977",22,"4,327,228",113,104,141
Cote d'Ivoire,680,"3,220","12,813","10,688","32,505",40,"18,584,701",153,126,79
Croatia,"16,140","72,572","226,502","21,838","40,424",25,"455,149",106,105,131
Cuba,562,"1,094","3,025","2,397","3,681",177,"11,259,905",228,232,17
Cyprus,"5,265","41,520","126,317","13,870","36,165",20,"836,321",139,112,148
Czech Republic,"29,306","80,147","261,804","27,274","51,849",19,"10,191,762",85,92,157
Democratic Republic of the Congo,204,510,"1,783","5,497","14,712",272,"58,740,547",207,180,13
Denmark,"35,405","114,400","368,697","127,875","164,447",11,"5,416,945",10,12,219
Djibouti,56,262,833,"11,490","11,941",36,"804,206",150,198,93
Dominica,134,364,"1,385","49,842","64,275",12,"67,827",49,76,209
Dominican Republic,"9,401","102,407","371,676","7,118","15,265",28,"9,469,601",191,177,117
Ecuador,"25,205","199,364","706,774","29,405","29,909",18,"13,060,993",75,130,163
Egypt,"29,793","293,713","1,275,770","5,180","15,923",42,"72,849,793",211,175,72
El Salvador,"4,976","57,379","235,918","5,485","16,443",26,"6,668,356",208,168,124
Equatorial Guinea,117,220,802,"4,383","5,724",95,"484,098",221,227,30
Eritrea,12,18,93,658,"3,659",708,"4,526,722",236,233,7
Estonia,"5,438","15,923","42,843","53,788","68,222",16,"1,344,312",43,73,181
Ethiopia,"1,248","4,305","14,523","7,822","8,187",42,"78,985,857",184,217,72
Falkland Islands (Malvinas),20,50,94,"1,365","3,542",845,"2,975",235,234,1
Faroe Islands,373,926,"2,217","30,003","53,196",16,"48,205",74,89,181
Fiji,461,"1,093","3,434","9,648","16,647",50,"828,046",162,167,56
Finland,"33,187","82,130","247,329","54,081","111,940",20,"5,246,004",42,42,148
France,"174,303","454,489","1,412,580","127,740","162,817",26,"60,990,544",11,15,124
French Guiana,247,558,"1,518","87,864","109,201",54,"192,099",24,44,52
French Polynesia,572,"3,291","12,152","6,721","20,111",48,"255,632",199,156,59
Gabon,551,"3,343","11,611","8,871","25,968",20,"1,290,693",169,139,148
Gambia,245,776,"3,921","4,632","7,705",86,"1,617,029",217,219,35
Georgia,"4,387","18,013","44,231","21,692","21,292",15,"4,473,409",107,150,189
Germany,"238,303","830,981","2,813,143","28,381","94,331",18,"82,652,369",78,50,163
Ghana,"1,634","3,904","13,613","22,602","31,668",43,"2,253,501",100,128,69
Gibraltar,31,850,"2,547","92,330","132,933",15,291,23,29,189
Greece,"32,624","262,491","952,169","5,361","25,137",35,"11,099,737",209,142,96
Greenland,279,"1,087","2,667","11,812","28,073",61,"57,475",148,136,43
Grenada,345,978,"2,567","24,345","87,113",15,"105,237",93,53,189
Guadeloupe,905,"2,273","6,340","81,796","108,476",45,"438,403",26,46,64
Guam,480,"3,023","9,138","5,991","48,375",19,"16,857",204,95,157
Guatemala,"8,183","86,471","361,279","8,460","18,401",30,"12,709,564",178,164,111
Guernsey,343,"2,269","7,787","8,508","34,423",35,0,177,118,96
Guinea,57,108,285,"7,075","11,219",76,"9,002,656",192,203,37
Guinea-Bissau,32,50,216,"4,257","7,170",149,"1,596,929",223,222,20
Guyana,941,"4,751","18,524","12,393","32,300",37,"739,472",145,127,90
Haiti,740,"1,885","7,403","8,710","16,170",34,"9,296,291",174,173,103
Holy See (Vatican City),6,495,"1,295","63,560","134,817",13,783,35,26,206
