Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Cocos (Keeling) Islands,3,8,9,"6,162","22,255",945,0,203,153,1
Falkland Islands (Malvinas),26,52,82,"1,261","4,018",847,"2,975",236,232,2
Saint Helena,4,4,9,463,"1,073",761,"6,399",238,239,3
United States Minor Outlying Islands,2,2,2,"1,587","10,917",698,0,234,207,4
Eritrea,9,11,69,221,"2,770",690,"4,526,722",239,236,5
Central African Republic,10,12,24,"1,440","3,930",675,"4,191,429",235,233,6
Norfolk Island,28,50,116,"1,937","24,962",671,0,233,147,7
Niue,1,1,3,"2,614","23,894",615,"1,632",229,151,8
British Indian Ocean Territory,2,14,54,"5,197","16,947",415,0,213,173,9
Christmas Island,14,46,100,"3,419","11,302",395,0,224,205,10
Papua New Guinea,124,211,646,"4,009","12,732",336,"6,069,715",220,198,11
Wallis and Futuna Islands,6,6,39,"4,879","7,867",284,"15,079",217,223,12
Mayotte,65,106,281,"3,620","15,270",250,0,223,183,13
Solomon Islands,28,37,98,"7,105","15,558",224,"472,419",193,179,14
Democratic Republic of the Congo,244,870,"2,209","5,856","15,068",211,"58,740,547",205,186,15
Cook Islands,39,92,177,"7,921","15,304",201,"13,984",185,181,16
Comoros,1,1,7,501,"2,838",199,"797,902",237,235,17
Vanuatu,76,195,447,"8,412","15,296",192,"215,366",182,182,18
Cuba,464,847,"2,267","2,726","4,052",180,"11,259,905",227,231,19
Chad,30,44,120,"12,513","10,648",166,"10,145,609",151,208,20
Kiribati,1,1,2,"26,546","54,230",157,"92,003",95,90,21
Tonga,18,21,56,"43,269","69,889",153,"99,361",62,74,22
Equatorial Guinea,127,238,814,"4,909","5,955",125,"484,098",216,228,23
Sudan,717,"1,783","8,012","5,108","6,686",105,"36,899,747",215,225,24
Antarctica,2,2,3,"49,078","85,575",104,0,57,59,25
Yemen,"2,520","8,000","36,707","2,353","6,020",104,"21,095,679",230,227,25
Guinea-Bissau,40,67,292,"3,973","5,532",104,"1,596,929",221,230,25
Turkmenistan,"1,507","3,035","9,035","2,233","2,628",97,"4,833,266",231,237,28
Cameroon,472,"1,093","4,264","5,192","11,576",95,"17,795,149",214,204,29
Gambia,252,712,"3,520","3,190","6,947",93,"1,617,029",225,224,30
Niger,218,393,"2,198","4,689","5,825",93,"1,326,419",219,229,30
"Micronesia, Federated States of",106,274,"1,023","5,737","11,155",92,"110,058",207,206,32
Swaziland,279,523,"2,553","9,129","10,498",86,"1,124,529",174,209,33
Guinea,58,115,368,"6,770","8,067",86,"9,002,656",196,222,33
